Address,Borough,Geo Address,Id,Lat,Lon,Target
"200 West End Avenue Around Corner Of 70th St. New York, NY 10023",manhattan,"200 west end ave, new york, ny 10023, usa",6062,40.778223,-73.9853407,0
"1241 Lexington Avenue Btwn. 84th And 85th St. New York, NY 10028",manhattan,"1241 lexington ave, new york, ny 10028, usa",3295,40.7782493,-73.9562245,0
"1294 Lexington Avenue Btwn. 87th And 88th St. New York, NY 10128",manhattan,"1294 lexington ave, new york, ny 10128, usa",2717,40.7803788,-73.9551688,0
"1622 Third Avenue Btwn. 91st And 92nd St. New York, NY 10128",manhattan,"1622 3rd ave, new york, ny 10128, usa",2036,40.7822658,-73.9518254,0
"2182 Broadway Btwn. 77th And 78th St. New York, NY 10024",manhattan,"2182 broadway, new york, ny 10024, usa",4014,40.7825006,-73.980446,0
"1500 Lexington Avenue Btwn. 96th And 97th St. New York, NY 10029",manhattan,"1500 lexington ave, new york, ny 10029, usa",5772,40.7863778,-73.9507953,0
"540 Amsterdam Avenue Btwn. 86th And 87th St. New York, NY 10024",manhattan,"540 amsterdam ave, new york, ny 10024, usa",2445,40.7879766,-73.9751384,0
"2495 Broadway Btwn. 92nd And 93rd St. New York, NY 10025",manhattan,"2495 broadway, new york, ny 10025, usa",6066,40.7927214,-73.9737275,0
"743 Amsterdam Avenue Btwn. 96th And 97th St. New York, NY 10025",manhattan,"743 amsterdam ave, new york, ny 10025, usa",2360,40.7942103,-73.9698745,0
"130 Lenox Avenue Btwn. 116th And 117th St. New York, NY 10026",manhattan,"130 malcolm x blvd, new york, ny 10026, usa",3224,40.8021299,-73.9491926,0
"115 West 125th Street On The Corner Of Lenox Ave New York, NY 10027",manhattan,"115 w 125th st, new york, ny 10027, usa",2737,40.8083045,-73.9456757,0
"3534 Broadway New York, NY 10031",manhattan,"3534 broadway, new york, ny 10031, usa",10827,40.8259985,-73.9502641,0
"130 Dyckman Street New York, NY 10040",manhattan,"130 dyckman st, new york, ny 10040, usa",2773,40.8624868,-73.9256165,0
"97-01 Liberty Avenue Ozone Park, NY 11417",queens,"97-01 liberty ave, ozone park, ny 11417, usa",2719,40.6814267,-73.8418573,0
"83-02 Atlantic Avenue Ozone Park, NY 11416",queens,"83-02 atlantic ave, ozone park, ny 11416, usa",2041,40.6852173,-73.857582,0
"206 Linden Boulevard Cambria Heights, NY 11429",queens,"206-09 linden blvd, jamaica, ny 11411, usa",3138,40.6965284,-73.7456728,0
"329-339 Wyckoff Ave Ridgewood, NY 11385",queens,"329-339 wyckoff ave, ridgewood, ny 11385, usa",2280,40.6999065,-73.9112291,0
"97-15 Metropolitan Avenue Forest Hills, NY 11375",queens,"97-15 metropolitan ave, forest hills, ny 11375, usa",7881,40.7113503,-73.855019,0
"170-25 Hillside Avenue Jamaica, NY 11432",queens,"170-25 hillside avenue, jamaica, ny 11432, usa",2718,40.7117499,-73.791129,0
"61-15 Metropolitan Ave Ridgewood, NY 11385",queens,"61-15 metropolitan ave, ridgewood, ny 11385, usa",549,40.7129806,-73.9013521,0
"118-10 Queens Boulevard, Corner Of 78th Avenue Forest Hills, NY 11375",queens,"118-10 queens blvd, forest hills, ny 11375, usa",499,40.7146041,-73.8324877,0
"108-7 Queens Blvd Forest Hills, NY 11375",queens,"1087 queens blvd, forest hills, ny 11375, usa",5830,40.7214396,-73.8430434,0
"100-02 Queens Boulevard Forest Hills, NY 11375",queens,"100-02 queens blvd, forest hills, ny 11375, usa",2057,40.7265616,-73.8537602,0
"61-01 Woodhaven Boulevard Rego Park, NY 11374",queens,"61-01 woodhaven blvd, rego park, ny 11374, usa",2123,40.7287168,-73.8707127,0
"372 Jericho Turnpike Floral Park, NY 11001",queens,"372 jericho turnpike, floral park, ny 11001, usa",3651,40.7298315,-73.695743,0
"9710 63rd Road, Corner Of 97th Street Rego Park, NY 11374",queens,"97-10 63rd rd, flushing, ny 11374, usa",2985,40.7308088,-73.8605138,0
"41-08 Queens Boulevard Sunnyside, NY 11104",queens,"41 08 queens blvd, sunnyside, ny 11104, usa",1058,40.743252,-73.9231342,0
